GENDER,AGE,DEBT,MARRIED,BANK_CUSTOMER,EDUCATION_LEVEL,YEARS_EMPLOYED,PRIOR_DEFAULT,EMPLOYED,CITIZEN,INCOME,APPROVED
1,30.83,0,0,1,w,1.25,1,1,1,0,Yes
0,58.67,4.46,0,1,q,3.04,1,1,1,560,Yes
0,24.5,0.5,0,1,q,1.5,1,0,1,824,Yes
1,27.83,1.54,0,1,w,3.75,1,1,1,3,Yes
1,20.17,5.625,0,1,w,1.71,1,0,0,0,Yes
1,32.08,4,0,1,m,2.5,1,0,1,0,Yes
1,33.17,1.04,0,1,r,6.5,1,0,1,31285,Yes
0,22.92,11.585,0,1,cc,0.04,1,0,1,1349,Yes
1,54.42,0.5,1,0,k,3.96,1,0,1,314,Yes
1,42.5,4.915,1,0,w,3.165,1,0,1,1442,Yes
1,22.08,0.83,0,1,c,2.165,0,0,1,0,Yes
1,29.92,1.835,0,1,c,4.335,1,0,1,200,Yes
0,38.25,6,0,1,k,1,1,0,1,0,Yes
1,48.08,6.04,0,1,k,0.04,0,0,1,2690,Yes
0,45.83,10.5,0,1,q,5,1,1,1,0,Yes
1,36.67,4.415,1,0,k,0.25,1,1,1,0,Yes
1,28.25,0.875,0,1,m,0.96,1,1,1,0,Yes
1,54.58,9.415,0,1,ff,14.415,1,1,1,300,Yes
1,34.17,9.17,0,1,c,4.5,1,1,1,221,Yes
1,28.92,15,0,1,c,5.335,1,1,1,2283,Yes
1,29.67,1.415,0,1,w,0.75,1,1,1,100,Yes
1,39.58,13.915,0,1,w,8.625,1,1,1,0,Yes
1,56.42,28,1,0,c,28.5,1,1,1,15,Yes
1,54.33,6.75,0,1,c,2.625,1,1,1,284,Yes
0,41,2.04,1,0,q,0.125,1,1,1,1236,Yes
1,31.92,4.46,0,1,cc,6.04,1,1,1,300,Yes
1,41.5,1.54,0,1,i,3.5,0,0,1,0,Yes
1,23.92,0.665,0,1,c,0.165,0,0,1,0,Yes
0,25.75,0.5,0,1,c,0.875,1,0,1,0,Yes
1,26,1,0,1,q,1.75,1,0,1,0,Yes
1,37.42,2.04,0,1,w,0.04,1,0,1,5800,Yes
1,34.92,2.5,0,1,w,0,1,0,1,200,Yes
1,34.25,3,0,1,cc,7.415,1,0,1,0,Yes
1,23.33,11.625,1,0,w,0.835,1,0,1,300,Yes
1,23.17,0,0,1,cc,0.085,1,0,1,0,Yes
1,44.33,0.5,0,1,i,5,1,0,1,0,Yes
1,35.17,4.5,0,1,x,5.75,0,0,0,0,Yes
1,43.25,3,0,1,q,6,1,1,1,0,Yes
1,56.75,12.25,0,1,m,1.25,1,1,1,0,Yes
1,31.67,16.165,0,1,d,3,1,1,1,730,Yes
0,23.42,0.79,1,0,q,1.5,1,1,1,400,Yes
0,20.42,0.835,0,1,q,1.585,1,1,1,0,Yes
1,26.67,4.25,0,1,cc,4.29,1,1,1,0,Yes
1,34.17,1.54,0,1,cc,1.54,1,1,1,50000,Yes
0,36,1,0,1,c,2,1,1,1,456,Yes
