ADMIT,GRE,GPA,RANK
No,380,3.61,3
Yes,660,3.67,3
Yes,800,4,1
Yes,640,3.19,4
No,520,2.93,4
Yes,760,3,2
Yes,560,2.98,1
No,400,3.08,2
Yes,540,3.39,3
No,700,3.92,2
No,800,4,4
No,440,3.22,1
Yes,760,4,1
No,700,3.08,2
Yes,700,4,1
No,480,3.44,3
No,780,3.87,4
No,360,2.56,3
No,800,3.75,2
Yes,540,3.81,1
No,500,3.17,3
Yes,660,3.63,2
No,600,2.82,4
No,680,3.19,4
Yes,760,3.35,2
Yes,800,3.66,1
Yes,620,3.61,1
Yes,520,3.74,4
Yes,780,3.22,2
No,520,3.29,1
No,540,3.78,4
No,760,3.35,3
No,600,3.4,3
Yes,800,4,3
No,360,3.14,1
No,400,3.05,2
No,580,3.25,1
No,520,2.9,3
Yes,500,3.13,2
Yes,520,2.68,3
No,560,2.42,2
Yes,580,3.32,2
Yes,600,3.15,2
No,500,3.31,3
No,700,2.94,2
Yes,460,3.45,3
Yes,580,3.46,2
No,500,2.97,4
No,440,2.48,4
No,400,3.35,3
No,640,3.86,3
No,440,3.13,4
No,740,3.37,4
Yes,680,3.27,2
No,660,3.34,3
Yes,740,4,3
No,560,3.19,3
No,380,2.94,3
No,400,3.65,2
No,600,2.82,4
Yes,620,3.18,2
No,560,3.32,4
No,640,3.67,3
Yes,680,3.85,3
No,580,4,3
No,600,3.59,2
No,740,3.62,4
No,620,3.3,1
No,580,3.69,1
No,800,3.73,1
No,640,4,3
No,300,2.92,4
No,480,3.39,4
No,580,4,2
No,720,3.45,4
No,720,4,3
No,560,3.36,3
Yes,800,4,3
No,540,3.12,1
Yes,620,4,1
No,700,2.9,4
No,620,3.07,2
No,500,2.71,2
No,380,2.91,4
Yes,500,3.6,3
No,520,2.98,2
No,600,3.32,2
No,600,3.48,2
No,700,3.28,1
Yes,660,4,2
No,700,3.83,2
Yes,720,3.64,1
No,800,3.9,2
No,580,2.93,2
Yes,660,3.44,2
No,660,3.33,2
No,640,3.52,4
No,480,3.57,2
No,700,2.88,2
No,400,3.31,3
No,340,3.15,3
No,580,3.57,3
No,380,3.33,4
No,540,3.94,3
Yes,660,3.95,2
Yes,740,2.97,2
Yes,700,3.56,1
No,480,3.13,2
No,400,2.93,3
No,480,3.45,2
No,680,3.08,4
No,420,3.41,4
No,360,3,3
No,600,3.22,1
No,720,3.84,3
No,620,3.99,3
Yes,440,3.45,2
No,700,3.72,2
Yes,800,3.7,1
No,340,2.92,3
Yes,520,3.74,2
Yes,480,2.67,2
No,520,2.85,3
No,500,2.98,3
No,720,3.88,3
No,540,3.38,4
Yes,600,3.54,1
No,740,3.74,4
No,540,3.19,2
No,460,3.15,4
Yes,620,3.17,2
No,640,2.79,2
No,580,3.4,2
No,500,3.08,3
No,560,2.95,2
No,500,3.57,3
No,560,3.33,4
No,700,4,3
No,620,3.4,2
Yes,600,3.58,1
No,640,3.93,2
Yes,700,3.52,4
No,620,3.94,4
No,580,3.4,3
No,580,3.4,4
No,380,3.43,3
No,480,3.4,2
No,560,2.71,3
Yes,480,2.91,1
No,740,3.31,1
Yes,800,3.74,1
No,400,3.38,2
Yes,640,3.94,2
No,580,3.46,3
No,620,3.69,3
Yes,580,2.86,4
No,560,2.52,2
Yes,480,3.58,1
No,660,3.49,2
No,700,3.82,3
No,600,3.13,2
No,640,3.5,2
Yes,700,3.56,2
No,520,2.73,2
No,580,3.3,2
No,700,4,1
No,440,3.24,4
No,720,3.77,3
No,500,4,3
No,600,3.62,3
No,400,3.51,3
No,540,2.81,3
No,680,3.48,3
Yes,800,3.43,2
No,500,3.53,4
Yes,620,3.37,2
No,520,2.62,2
Yes,620,3.23,3
No,620,3.33,3
No,300,3.01,3
No,620,3.78,3
No,500,3.88,4
No,700,4,2
Yes,540,3.84,2
No,500,2.79,4
No,800,3.6,2
No,560,3.61,3
No,580,2.88,2
No,560,3.07,2
No,500,3.35,2
Yes,640,2.94,2
No,800,3.54,3
No,640,3.76,3
No,380,3.59,4
Yes,600,3.47,2
No,560,3.59,2
No,660,3.07,3
Yes,400,3.23,4
No,600,3.63,3
No,580,3.77,4
No,800,3.31,3
Yes,580,3.2,2
Yes,700,4,1
No,420,3.92,4
Yes,600,3.89,1
Yes,780,3.8,3
No,740,3.54,1
Yes,640,3.63,1
No,540,3.16,3
No,580,3.5,2
No,740,3.34,4
No,580,3.02,2
No,460,2.87,2
No,640,3.38,3
Yes,600,3.56,2
Yes,660,2.91,3
No,340,2.9,1
Yes,460,3.64,1
No,460,2.98,1
Yes,560,3.59,2
No,540,3.28,3
No,680,3.99,3
Yes,480,3.02,1
No,800,3.47,3
No,800,2.9,2
Yes,720,3.5,3
No,620,3.58,2
No,540,3.02,4
No,480,3.43,2
Yes,720,3.42,2
No,580,3.29,4
No,600,3.28,3
No,380,3.38,2
No,420,2.67,3
Yes,800,3.53,1
No,620,3.05,2
Yes,660,3.49,2
No,480,4,2
