STORE;DATE;TEMPERATURE;FUEL_PRICE;MARKDOWN1;MARKDOWN2;MARKDOWN3;MARKDOWN4;MARKDOWN5;CPI;UNEMPLOYMENT;ISHOLIDAY;WEEKLY_SALES
1;05/02/2010;42.31;2.572;NA;NA;NA;NA;NA;2.110.963.582;8.106;FALSE;24924.5
1;12/02/2010;38.51;2.548;NA;NA;NA;NA;NA;2.112.421.698;8.106;TRUE;46039.49
1;19/02/2010;39.93;2.514;NA;NA;NA;NA;NA;2.112.891.429;8.106;FALSE;41595.55
1;26/02/2010;46.63;2.561;NA;NA;NA;NA;NA;2.113.196.429;8.106;FALSE;19403.54
1;05/03/2010;46.5;2.625;NA;NA;NA;NA;NA;2.113.501.429;8.106;FALSE;21827.9
1;12/03/2010;57.79;2.667;NA;NA;NA;NA;NA;2.113.806.429;8.106;FALSE;21043.39
1;19/03/2010;54.58;2.72;NA;NA;NA;NA;NA;211.215.635;8.106;FALSE;22136.64
1;26/03/2010;51.45;2.732;NA;NA;NA;NA;NA;2.110.180.424;8.106;FALSE;26229.21
1;02/04/2010;62.27;2.719;NA;NA;NA;NA;NA;2.108.204.499;7.808;FALSE;57258.43
1;09/04/2010;65.86;2.77;NA;NA;NA;NA;NA;2.106.228.574;7.808;FALSE;42960.91
1;16/04/2010;66.32;2.808;NA;NA;NA;NA;NA;2.104.887;7.808;FALSE;17596.96
1;23/04/2010;64.84;2.795;NA;NA;NA;NA;NA;2.104.391.228;7.808;FALSE;16145.35
1;30/04/2010;67.41;2.78;NA;NA;NA;NA;NA;2.103.895.456;7.808;FALSE;16555.11
1;07/05/2010;72.55;2.835;NA;NA;NA;NA;NA;2.103.399.684;7.808;FALSE;17413.94
1;14/05/2010;74.78;2.854;NA;NA;NA;NA;NA;2.103.374.261;7.808;FALSE;18926.74
1;21/05/2010;76.44;2.826;NA;NA;NA;NA;NA;2.106.170.934;7.808;FALSE;14773.04
1;28/05/2010;80.44;2.759;NA;NA;NA;NA;NA;2.108.967.606;7.808;FALSE;15580.43
1;04/06/2010;80.69;2.705;NA;NA;NA;NA;NA;2.111.764.278;7.808;FALSE;17558.09
1;11/06/2010;80.43;2.668;NA;NA;NA;NA;NA;2.114.560.951;7.808;FALSE;16637.62
1;18/06/2010;84.11;2.637;NA;NA;NA;NA;NA;2.114.537.719;7.808;FALSE;16216.27
1;25/06/2010;84.34;2.653;NA;NA;NA;NA;NA;2.113.386.526;7.808;FALSE;16328.72
1;02/07/2010;80.91;2.669;NA;NA;NA;NA;NA;2.112.235.333;7.787;FALSE;16333.14
1;09/07/2010;80.48;2.642;NA;NA;NA;NA;NA;211.108.414;7.787;FALSE;17688.76
1;16/07/2010;83.15;2.623;NA;NA;NA;NA;NA;2.111.003.854;7.787;FALSE;17150.84
1;23/07/2010;83.36;2.608;NA;NA;NA;NA;NA;2.112.351.443;7.787;FALSE;15360.45
1;30/07/2010;81.84;2.64;NA;NA;NA;NA;NA;2.113.699.032;7.787;FALSE;15381.82
1;06/08/2010;87.16;2.627;NA;NA;NA;NA;NA;2.115.046.621;7.787;FALSE;17508.41
1;13/08/2010;87;2.692;NA;NA;NA;NA;NA;2.116.394.211;7.787;FALSE;15536.4
1;20/08/2010;86.65;2.664;NA;NA;NA;NA;NA;2.116.033.633;7.787;FALSE;15740.13
1;27/08/2010;85.22;2.619;NA;NA;NA;NA;NA;2.115.673.056;7.787;FALSE;15793.87
1;03/09/2010;81.21;2.577;NA;NA;NA;NA;NA;2.115.312.479;7.787;FALSE;16241.78
1;10/09/2010;78.69;2.565;NA;NA;NA;NA;NA;2.114.951.902;7.787;TRUE;18194.74
1;17/09/2010;82.11;2.582;NA;NA;NA;NA;NA;2.115.224.596;7.787;FALSE;19354.23
1;24/09/2010;80.94;2.624;NA;NA;NA;NA;NA;2.115.972.246;7.787;FALSE;18122.52
1;01/10/2010;71.89;2.603;NA;NA;NA;NA;NA;2.116.719.895;7.838;FALSE;20094.19
1;08/10/2010;63.93;2.633;NA;NA;NA;NA;NA;2.117.467.544;7.838;FALSE;23388.03
1;15/10/2010;67.18;2.72;NA;NA;NA;NA;NA;2.118.137.436;7.838;FALSE;26978.34
1;22/10/2010;69.86;2.725;NA;NA;NA;NA;NA;2.118.612.937;7.838;FALSE;25543.04
1;29/10/2010;69.64;2.716;NA;NA;NA;NA;NA;2.119.088.438;7.838;FALSE;38640.93
1;05/11/2010;58.74;2.689;NA;NA;NA;NA;NA;2.119.563.939;7.838;FALSE;34238.88
1;12/11/2010;59.61;2.728;NA;NA;NA;NA;NA;212.003.944;7.838;FALSE;19549.39
1;19/11/2010;51.41;2.771;NA;NA;NA;NA;NA;2.118.896.737;7.838;FALSE;19552.84
1;26/11/2010;64.52;2.735;NA;NA;NA;NA;NA;2.117.484.333;7.838;TRUE;18820.29
1;03/12/2010;49.27;2.708;NA;NA;NA;NA;NA;211.607.193;7.838;FALSE;22517.56
1;10/12/2010;46.33;2.843;NA;NA;NA;NA;NA;2.114.659.526;7.838;FALSE;31497.65
1;17/12/2010;49.84;2.869;NA;NA;NA;NA;NA;2.114.053.124;7.838;FALSE;44912.86
1;24/12/2010;52.33;2.886;NA;NA;NA;NA;NA;2.114.051.222;7.838;FALSE;55931.23
1;31/12/2010;48.43;2.943;NA;NA;NA;NA;NA;2.114.049.321;7.838;TRUE;19124.58
1;07/01/2011;48.27;2.976;NA;NA;NA;NA;NA;2.114.047.419;7.742;FALSE;15984.24
1;14/01/2011;35.4;2.983;NA;NA;NA;NA;NA;2.114.574.109;7.742;FALSE;17359.7
1;21/01/2011;44.04;3.016;NA;NA;NA;NA;NA;2.118.272.343;7.742;FALSE;17341.47
1;28/01/2011;43.83;3.01;NA;NA;NA;NA;NA;2.121.970.577;7.742;FALSE;18461.18
1;04/02/2011;42.27;2.989;NA;NA;NA;NA;NA;2.125.668.812;7.742;FALSE;21665.76
1;11/02/2011;36.39;3.022;NA;NA;NA;NA;NA;2.129.367.046;7.742;TRUE;37887.17
1;18/02/2011;57.36;3.045;NA;NA;NA;NA;NA;2.132.478.853;7.742;FALSE;46845.87
1;25/02/2011;62.9;3.065;NA;NA;NA;NA;NA;213.535.609;7.742;FALSE;19363.83
1;04/03/2011;59.58;3.288;NA;NA;NA;NA;NA;2.138.233.327;7.742;FALSE;20327.61
1;11/03/2011;53.56;3.459;NA;NA;NA;NA;NA;2.141.110.564;7.742;FALSE;21280.4
1;18/03/2011;62.76;3.488;NA;NA;NA;NA;NA;2.143.627.114;7.742;FALSE;20334.23
1;25/03/2011;69.97;3.473;NA;NA;NA;NA;NA;2.145.999.389;7.742;FALSE;20881.1
1;01/04/2011;59.17;3.524;NA;NA;NA;NA;NA;2.148.371.664;7.682;FALSE;20398.09
1;08/04/2011;67.84;3.622;NA;NA;NA;NA;NA;2.150.743.939;7.682;FALSE;23873.79
1;15/04/2011;71.27;3.743;NA;NA;NA;NA;NA;2.152.918.561;7.682;FALSE;28762.37
1;22/04/2011;72.99;3.807;NA;NA;NA;NA;NA;2.154.599.053;7.682;FALSE;50510.31
1;29/04/2011;72.03;3.81;NA;NA;NA;NA;NA;2.156.279.544;7.682;FALSE;41512.39
1;06/05/2011;64.61;3.906;NA;NA;NA;NA;NA;2.157.960.035;7.682;FALSE;20138.19
1;13/05/2011;75.64;3.899;NA;NA;NA;NA;NA;2.159.640.526;7.682;FALSE;17235.15
1;20/05/2011;67.63;3.907;NA;NA;NA;NA;NA;2.157.339.202;7.682;FALSE;15136.78
1;27/05/2011;77.72;3.786;NA;NA;NA;NA;NA;2.155.037.878;7.682;FALSE;15741.6
1;03/06/2011;83;3.699;NA;NA;NA;NA;NA;2.152.736.553;7.682;FALSE;16434.15
1;10/06/2011;83.13;3.648;NA;NA;NA;NA;NA;2.150.435.229;7.682;FALSE;15883.52
1;17/06/2011;86.41;3.637;NA;NA;NA;NA;NA;2.149.980.596;7.682;FALSE;14978.09
1;24/06/2011;83.58;3.594;NA;NA;NA;NA;NA;2.150.910.982;7.682;FALSE;15682.81
1;01/07/2011;85.55;3.524;NA;NA;NA;NA;NA;2.151.841.368;7.962;FALSE;15363.5
1;08/07/2011;85.83;3.48;NA;NA;NA;NA;NA;2.152.771.754;7.962;FALSE;16148.87
1;15/07/2011;88.54;3.575;NA;NA;NA;NA;NA;2.153.611.087;7.962;FALSE;15654.85
1;22/07/2011;85.77;3.651;NA;NA;NA;NA;NA;2.154.222.784;7.962;FALSE;15766.6
1;29/07/2011;86.83;3.682;NA;NA;NA;NA;NA;2.154.834.482;7.962;FALSE;15922.41
1;05/08/2011;91.65;3.684;NA;NA;NA;NA;NA;215.544.618;7.962;FALSE;15295.55
